Name,Team Name,Age,age_group,Position,Injury,injury_month_name,injury_year,avg_before,avg_after,performance_drop,performance_change,recovery_days,injury_count,injury_month_num
Fabian Delph,Everton,28,Prime,Central Midfielder,Calf Injury,August,2019,,6.3,,No Change,28.0,1,8.0
Fabian Delph,Everton,28,Prime,Central Midfielder,Muscle Injury,October,2019,6.47,7.0,-0.53,Improved,18.0,1,10.0
Fabian Delph,Everton,28,Prime,Central Midfielder,Muscle Injury,November,2019,7.0,6.75,0.25,Dropped,46.0,1,11.0
Fabian Delph,Everton,29,Prime,Central Midfielder,Calf Injury,June,2020,6.3,7.0,-0.7,Improved,113.0,1,6.0
Fabian Delph,Everton,29,Prime,Central Midfielder,Bruise,November,2020,7.0,5.6,1.4,Dropped,25.0,1,11.0
Fabian Delph,Everton,30,Senior,Central Midfielder,Shoulder Injury,August,2021,,6.0,,No Change,59.0,1,8.0
Fabian Delph,Everton,31,Senior,Central Midfielder,Hamstring Injury,January,2022,,7.0,,No Change,74.0,1,1.0
Gylfi Sigurdsson,Everton,30,Senior,Attacking Midfielder,Knock,December,2019,6.47,6.8,-0.33,Improved,12.0,1,12.0
Gylfi Sigurdsson,Everton,30,Senior,Attacking Midfielder,Groin Injury,January,2020,6.6,6.5,0.1,Dropped,19.0,1,1.0
Alex Iwobi,Everton,23,Prime,Left Winger,Hamstring Injury,December,2019,5.9,6.1,-0.2,Improved,35.0,1,12.0
Alex Iwobi,Everton,25,Prime,Left Winger,Calf Injury,October,2021,6.5,6.7,-0.2,Improved,12.0,1,10.0
Bernard,Everton,27,Prime,Left Winger,Ill,September,2019,5.8,6.3,-0.5,Improved,8.0,1,9.0
Bernard,Everton,27,Prime,Left Winger,Knee Injury,October,2019,6.3,6.3,0.0,No Change,34.0,1,10.0
Bernard,Everton,27,Prime,Left Winger,Knee Injury,January,2020,6.3,6.5,-0.2,Improved,3.0,1,1.0
Theo Walcott,Everton,30,Senior,Right Winger,Head Injury,September,2019,5.0,6.17,-1.17,Improved,39.0,1,9.0
Theo Walcott,Everton,30,Senior,Right Winger,Knock,November,2019,5.6,5.5,0.1,Dropped,10.0,1,11.0
Theo Walcott,Everton,30,Senior,Right Winger,Calf Strain,December,2019,5.5,6.1,-0.6,Improved,17.0,1,12.0
Theo Walcott,Everton,30,Senior,Right Winger,Knee Injury,February,2020,6.53,5.4,1.13,Dropped,19.0,1,2.0
Theo Walcott,Everton,31,Senior,Right Winger,Abdominal Muscle Strain,June,2020,5.4,5.95,-0.55,Improved,30.0,1,6.0
Richarlison,Everton,22,Young,Center Forward,Knee Injury,January,2020,7.5,7.27,0.23,Dropped,18.0,1,1.0
Richarlison,Everton,23,Prime,Center Forward,Head Injury,December,2020,6.6,6.1,0.5,Dropped,26.0,1,12.0
Richarlison,Everton,24,Prime,Center Forward,Knee Injury,September,2021,6.13,5.8,0.33,Dropped,39.0,1,9.0
Richarlison,Everton,24,Prime,Center Forward,Calf Injury,December,2021,6.23,5.95,0.28,Dropped,31.0,1,12.0
Moise Kean,Everton,20,Young,Center Forward,Knee Injury,July,2020,,7.8,,No Change,8.0,1,7.0
Dominic Calvert-Lewin,Everton,23,Prime,Center Forward,Muscle Injury,January,2021,6.13,6.57,-0.43,Improved,24.0,1,1.0
Dominic Calvert-Lewin,Everton,23,Prime,Center Forward,Hamstring Injury,February,2021,7.0,6.4,0.6,Dropped,8.0,1,2.0
Dominic Calvert-Lewin,Everton,24,Prime,Center Forward,Broken Toe,August,2021,6.93,5.4,1.53,Dropped,125.0,1,8.0
Dominic Calvert-Lewin,Everton,25,Prime,Center Forward,Hamstring Injury,April,2022,5.5,7.33,-1.83,Improved,18.0,1,4.0
Dominic Calvert-Lewin,Everton,25,Prime,Center Forward,Knee Injury,August,2022,,5.47,,No Change,60.0,1,8.0
Dominic Calvert-Lewin,Everton,25,Prime,Center Forward,Hamstring Injury,November,2022,6.53,5.5,1.03,Dropped,53.0,1,11.0
Dominic Calvert-Lewin,Everton,25,Prime,Center Forward,Hamstring Injury,February,2023,6.03,6.37,-0.33,Improved,75.0,1,2.0
Dominic Calvert-Lewin,Everton,26,Prime,Center Forward,Fitness And Broken Cheekbone,August,2023,,7.4,,No Change,44.0,1,8.0
Dominic Calvert-Lewin,Everton,27,Prime,Center Forward,Ill,April,2024,6.97,6.9,0.07,Dropped,6.0,1,4.0
Cenk Tosun,Everton,28,Prime,Center Forward,Groin Injury,October,2019,5.1,6.15,-1.05,Improved,9.0,1,10.0
Ben Godfrey,Everton,22,Young,Center Back,Hamstring Injury,October,2020,5.8,6.5,-0.7,Improved,11.0,1,10.0
Ben Godfrey,Everton,24,Prime,Center Back,Broken Fibula,August,2022,6.0,6.17,-0.17,Improved,91.0,1,8.0
Allan,Everton,29,Prime,Defensive Midfielder,Groin Injury,October,2020,6.9,6.37,0.53,Dropped,14.0,1,10.0
Allan,Everton,29,Prime,Defensive Midfielder,Muscle Injury,December,2020,6.53,6.65,-0.12,Improved,58.0,1,12.0
Abdoulaye Doucouré,Everton,28,Prime,Central Midfielder,Foot Injury,March,2021,6.5,6.83,-0.33,Improved,64.0,1,3.0
Abdoulaye Doucouré,Everton,28,Prime,Central Midfielder,Stress Reaction Of The Bone,October,2021,7.47,6.17,1.3,Dropped,42.0,1,10.0
Abdoulaye Doucouré,Everton,30,Senior,Central Midfielder,Thigh Problems,December,2023,6.83,5.93,0.9,Dropped,26.0,1,12.0
James Rodríguez,Everton,29,Prime,Attacking Midfielder,Groin Injury,October,2020,7.87,6.77,1.1,Dropped,11.0,1,10.0
James Rodríguez,Everton,29,Prime,Attacking Midfielder,Calf Strain,December,2020,7.17,7.0,0.17,Dropped,25.0,1,12.0
James Rodríguez,Everton,29,Prime,Attacking Midfielder,Calf Injury,February,2021,6.7,7.3,-0.6,Improved,38.0,1,2.0
James Rodríguez,Everton,29,Prime,Attacking Midfielder,Calf Injury,May,2021,6.7,7.1,-0.4,Improved,13.0,1,5.0
Vitaliy Mykolenko,Everton,22,Young,Left Back,Coronavirus,February,2022,5.0,5.6,-0.6,Improved,9.0,1,2.0
Vitaliy Mykolenko,Everton,24,Prime,Left Back,Groin Injury,December,2023,6.67,6.37,0.3,Dropped,7.0,1,12.0
Vitaliy Mykolenko,Everton,24,Prime,Left Back,Cold,March,2024,5.83,5.97,-0.13,Improved,4.0,1,3.0
Nathan Patterson,Everton,19,Young,Right Back,Ankle Injury,September,2022,6.73,5.6,1.13,Dropped,35.0,1,9.0
Andros Townsend,Everton,30,Senior,Right Winger,Broken Foot,December,2021,5.83,5.9,-0.07,Improved,23.0,1,12.0
Amadou Onana,Everton,21,Young,Defensive Midfielder,Leg Injury,April,2023,6.43,6.55,-0.12,Improved,10.0,1,4.0
Amadou Onana,Everton,22,Young,Defensive Midfielder,Calf Injury,November,2023,6.4,7.15,-0.75,Improved,27.0,1,11.0
Dwight McNeil,Everton,23,Prime,Left Winger,Ankle Injury,,,,6.5,,No Change,,1,
Ashley Young,Everton,38,Senior,Left Back,Muscle Injury,December,2023,6.53,5.7,0.83,Dropped,45.0,1,12.0
Jack Harrison,Everton,26,Prime,Right Winger,Hip Injury,July,2023,,6.95,,No Change,82.0,1,7.0
Beto,Everton,25,Prime,Center Forward,Knee Injury,November,2023,,5.75,,No Change,5.0,1,11.0
